""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-15_None_Tumor"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-5_None_Tumor"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"SOSTDC1"	0	0	0	0	1.78306268190063	0	0	0	0	0	0	1.61404041982282	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956028668901459	1.39745226803168	1.35374862108525	0	0	0.633904346997085	1.51316409567626	0.921694600176867	1.76117604585597	0	0.85444692513942	0	0	2.25814306368322	0	0	0	0	0	0	0	0	0	0	0
"SOX2"	2.18733050369102	0	1.99130826597491	1.40860239086312	0	2.15723658318163	3.41482953045221	0	0	0	0	1.30346795599205	0	3.36768211680924	0	0	0	0	0	0	0	0	0	0	2.10786596166046	1.33562034266272	0.796584527853779	0.671568134320715	0	2.45332933989141	1.01881537182781	2.45300563550889	1.18488764321578	0	1.92544950968523	0.85444692513942	0	0	0	0	0	0	0	0	0	0	0	2.44319202542805	0	0
"SOX4"	0	0	0	1.40860239086312	0	0	0	4.31847528044767	3.37583128432807	0	0	1.61404041982282	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588160242310368	1.53769652400313	0	0	0	0.633904346997085	0	0.563478671338737	2.36448459280736	1.92544950968523	0	0	2.98196756108314	1.66442885886046	0	0	0	0	0	0	0	0	1.83335888087173	0	0
"SOX9"	0	0	0	1.40860239086312	0	1.26668548169973	0	0	0	0	0	2.57025806652071	0	0	0	0	0	0	0	0	0	0	0	3.28988561019803	2.10786596166046	1.09917260245848	1.03919093954316	0.671568134320715	0	0	1.51288802645843	2.0896582942802	0.921694600176867	0	1.92544950968523	0	0	0	1.66442885886046	0	0	0	0	0	0	0	0	0	0	0
"SPARCL1"	2.18733050369102	0	0	2.32929562660649	0	1.80798367205103	0	0	0	0	0	1.85067084932289	0	0	0	0	0	2.54289734536132	0	0	0	0	0	0	0	1.22436869527222	1.77016301670626	0.671568134320715	0	0	1.29605977424869	0	0.563478671338737	0	0	1.30837295618739	3.32797129238541	0	0	0	0	0	0	0	4.06712424787973	4.10108745431059	0	1.83335888087173	0	0
"SPINK1"	0	0	0	0	1.78306268190063	1.80798367205103	0	0	0	0	0	1.61404041982282	0	3.36768211680924	0	3.4584982354995	0	0	0	0	3.38405218891788	2.96785655597551	0	0	0	0.336712409546873	1.23428042611835	0.671568134320715	0	0	0	0	0.563478671338737	0	0	0	0	0	1.66442885886046	0	0	0	2.97665005709066	0	0	0	0	0	0	0
"SPOCK2"	2.18733050369102	0	1.99130826597491	1.97136480093404	1.78306268190063	2.15723658318163	3.41482953045221	0	0	2.51789875472167	0	2.34056975510801	0	0	0	0	0	0	0	0	0	0	0	0	2.73834116112488	1.33562034266272	1.77016301670626	2.59860394324451	0	0	1.69097711722387	2.0896582942802	1.95362105139504	2.36448459280736	1.92544950968523	1.61943235365141	0	2.98196756108314	2.89760227597338	0	0	0	2.97665005709066	0	0	0	0	2.44319202542805	0	0
"SPP1"	0	0	3.66229582317582	1.97136480093404	3.57336530473478	2.79082256679634	5.94895608227616	0	4.73614888824085	2.51789875472167	0	3.22439629721456	0	0	5.35584719734794	0	4.43477720005941	2.92180003288302	0	5.04243206817825	0	4.53529395133531	0	3.28988561019803	2.10786596166046	3.2511822862557	1.39745226803168	3.54112302353534	4.88013013926547	3.99148023969374	1.51288802645843	0	2.05552762915366	0	3.19593153661202	1.30837295618739	0	2.98196756108314	0	0	0	3.62069794169786	4.54446292574788	0	3.39095863045369	0	4.10890864785841	0	0	0
"SPRY2"	0	0	1.99130826597491	1.40860239086312	1.78306268190063	1.80798367205103	0	0	0	0	0	2.20233716928548	0	0	0	0	0	1.92544950968523	0	0	0	0	0	0	0	0.956028668901459	1.23428042611835	1.35374862108525	1.86309641273877	0	1.69097711722387	1.51316409567626	1.18488764321578	1.76117604585597	2.54289734536132	0.85444692513942	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75956043448145
"SPRY4"	2.18733050369102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10786596166046	0.588160242310368	1.77016301670626	1.35374862108525	0	0	1.51288802645843	1.51316409567626	0.563478671338737	0	0	0	0	0	0	0	0	0	0	0	2.73093319654561	3.03504818400374	0	0	0	0
